id_usuario;followers
57495210; "1049"
2717643781; "1049"
1596848358; "1047"
3149463910; "1044"
73056751; "1041"
985517285937942530; "1039"
3400791922; "1037"
747423131954978816; "1034"
2370981277; "1034"
285886332; "1033"
440299698; "1029"
904224563906662400; "1028"
52495721; "1028"
756727517214547968; "1023"
926474642944155649; "1018"
708704002960179200; "1017"
733435882699624448; "1016"
16284408; "1016"
58800782; "1015"
299889381; "1014"
3653777182; "1011"
151899249; "1011"
75964466; "1009"
3299715399; "1009"
2326283957; "1009"
961605864133099520; "1008"
2281300849; "1004"
295149463; "1003"
228472501; "1003"
515869633; "999"
46231100; "999"
1275497930; "999"
3524426955; "997"
22678319; "997"
216514319; "995"
1618903250; "992"
28844640; "989"
917499332156444672; "988"
2557079293; "987"
910327944903630848; "984"
24779063; "981"
1503440131; "981"
17896110; "979"
174756801; "978"
867545900851351552; "975"
2833304205; "974"
4851359111; "973"
3316554647; "973"
2209583416; "973"
2943954005; "972"
70124355; "971"
261387249; "968"
1322799236; "967"
2209814539; "965"
2838953716; "962"
154192154; "960"
106110069; "960"
14721668; "956"
15261182; "955"
858374354425581568; "954"
602010664; "954"
777647547422826496; "952"
564856762; "952"
2745431061; "947"
11564842; "946"
539933257; "945"
986994798; "944"
341192453; "942"
69070060; "939"
57136395; "938"
42722945; "935"
537240838; "934"
868565669163532288; "933"
2613782228; "932"
916400885957255168; "931"
2345189148; "930"
103596890; "930"
17684034; "929"
499954166; "927"
717874436; "925"
16581570; "925"
992573769809125384; "924"
2850277115; "922"
946357574462566401; "921"
2262287632; "921"
581576868; "920"
3435581399; "920"
3623718803; "919"
2692833036; "918"
909000786683842560; "917"
2889607299; "916"
1512065894; "915"
970178322; "914"
2471351928; "913"
2882972795; "911"
830601834846883841; "910"
4614713536; "910"
619595940; "909"
254626917; "908"
169712619; "903"
918802417222868992; "901"
185792563; "901"
27372864; "900"
533292091; "895"
3075216250; "892"
1034773964; "892"
90045319; "891"
8311912; "891"
2899288337; "891"
204262434; "890"
174017304; "888"
1198730940; "888"
2377836301; "885"
96268820; "884"
916969147; "881"
714227152657465344; "878"
605617567; "878"
170803158; "877"
919425316019417089; "875"
23255660; "874"
1631237826; "874"
93976087; "873"
2364475838; "872"
1140298148; "871"
1557122100; "870"
72511349; "869"
3116050816; "869"
53532830; "867"
1679217960; "866"
224882018; "864"
740632851838865408; "860"
115763706; "854"
4078696949; "853"
3062928364; "852"
2894081686; "850"
27266352; "850"
1539700368; "850"
3434286550; "848"
17930862; "848"
3626164155; "847"
114092053; "846"
878403873752453121; "845"
53585338; "844"
50151639; "844"
3087320231; "844"
1230054596; "844"
98677129; "843"
2646387146; "843"
176616923; "842"
2190717391; "841"
321571198; "840"
104016647; "839"
488724965; "834"
389025446; "834"
385630804; "830"
134901666; "830"
900181399625400327; "829"
334211372; "829"
2719364097; "829"
68843345; "827"
537799459; "825"
205516150; "824"
47464303; "823"
8753152; "822"
325877892; "821"
158939019; "821"
731938347988471809; "820"
14229098; "818"
56687416; "816"
542732845; "816"
2640806151; "815"
189739808; "813"
1767675032; "813"
77399090; "811"
621809318; "811"
887337183056732160; "810"
807201863007436804; "810"
71394717; "809"
2949158883; "807"
2434079266; "806"
87065252; "803"
325218201; "802"
261475773; "802"
275163363; "801"
43927993; "800"
28685480; "797"
2718501601; "797"
3426407429; "796"
72612441; "795"
2374517749; "793"
69161481; "791"
1613819822; "791"
919074581553582080; "790"
145008500; "790"
68025488; "788"
437057457; "788"
59132144; "787"
855185064686178304; "786"
51529976; "785"
16290016; "785"
128229713; "784"
1222649642; "784"
56377755; "783"
131892743; "783"
2579923143; "781"
103990018; "780"
109649597; "777"
472274631; "776"
1543514066; "776"
4818665333; "775"
349939008; "774"
25536369; "773"
797880414572572672; "772"
259738838; "772"
16845285; "772"
4892043431; "771"
2324429156; "769"
178412854; "769"
178380731; "768"
3121723730; "765"
15083685; "764"
67776381; "763"
13572192; "759"
1031316560; "759"
2424242773; "757"
172468914; "756"
835936407428411392; "754"
126075164; "754"
2836288299; "753"
1897725462; "753"
187203599; "753"
65113678; "751"
42229570; "751"
224259409; "751"
47941979; "746"
337427145; "745"
95930034; "744"
764909810856919040; "743"
550701586; "743"
1373437423; "742"
2878732449; "740"
755490719830192129; "738"
3523870636; "738"
257142395; "737"
1611779412; "737"
577585967; "736"
1014019688; "736"
145807410; "733"
70513798; "732"
1577678383; "730"
2876650035; "729"
17448476; "729"
100820448; "729"
864221921336070144; "724"
39750843; "724"
2875795264; "724"
2804974557; "724"
1488447324; "724"
167157448; "723"
1444469072; "720"
387255764; "719"
73207424; "718"
60796709; "718"
2584157052; "718"
571067141; "717"
404054925; "715"
1599584910; "715"
40532613; "714"
195578244; "713"
54607123; "712"
2861495518; "712"
2155627800; "711"
533288839; "709"
624024638; "706"
2271519909; "706"
2908290291; "705"
186552065; "705"
26382512; "704"
143167014; "704"
2616066118; "703"
823363308208197632; "701"
173572064; "700"
47838794; "699"
37369318; "699"
751063354081435648; "698"
62267947; "698"
1398300248; "695"
887856165148803072; "693"
825715416064475136; "693"
3369279532; "693"
2752741696; "693"
279693009; "691"
1075414771; "691"
69153809; "690"
19981308; "690"
3003643767; "689"
1019286937935532033; "688"
945772998614757377; "687"
412493616; "684"
770796291815251968; "683"
48559503; "683"
73969885; "681"
971178037; "680"
51529515; "680"
2371716452; "680"
160680805; "679"
1109879130; "678"
3264514918; "677"
27322836; "677"
1393749134; "676"
800486156575965184; "675"
846586854581424128; "674"
777131576136171520; "673"
2198024876; "673"
2255110358; "671"
715543032054079488; "670"
495934981; "670"
146037618; "670"
1649741210; "668"
3366872962; "667"
1831722192; "665"
31256502; "660"
928376231632035842; "658"
119495563; "658"
2977795631; "657"
1296188893; "656"
186151617; "654"
777147491456253955; "653"
3495975197; "652"
4820258927; "651"
2723647189; "650"
2617376835; "649"
187981203; "649"
75833479; "648"
2807651762; "648"
25577980; "648"
208227620; "648"
49122616; "647"
876445667169882112; "646"
1863753397; "646"
105937391; "646"
233912175; "643"
191821938; "642"
270658992; "641"
2853511942; "640"
214653573; "640"
161308176; "639"
707543988165877760; "637"
42336928; "637"
2398231920; "637"
150046587; "637"
4905279179; "636"
2416102171; "635"
857021920105172994; "634"
59871513; "634"
157422125; "634"
352681854; "633"
264600193; "632"
169545469; "631"
3257594932; "630"
18896151; "630"
16387720; "630"
2872401294; "629"
842775287851094016; "628"
74891782; "628"
978022492164980736; "627"
370567136; "627"
764203136; "625"
370389047; "625"
3319780546; "625"
2729444965; "625"
38052532; "624"
354383961; "624"
4710802277; "623"
925406125792653312; "621"
31740177; "621"
74772295; "619"
2857337433; "619"
4861808066; "618"
142643756; "618"
20058903; "617"
1613883385; "614"
3344996619; "612"
2737733948; "612"
151711672; "612"
823617896618332161; "611"
215632092; "611"
3306732105; "610"
2366149240; "610"
919603583406002176; "608"
711675870671466496; "604"
266874478; "602"
93637317; "601"
48101356; "601"
115525282; "601"
801566281283620868; "600"
30686875; "599"
352126847; "598"
53894608; "597"
87593508; "596"
30064146; "594"
2868199184; "594"
149650363; "593"
91173409; "592"
4795708521; "592"
1259922336; "592"
778631820; "591"
774086070053007360; "589"
155566562; "589"
4881634485; "588"
3334569851; "588"
48729903; "587"
752279362846789633; "585"
58272428; "583"
149638391; "583"
216434325; "582"
74341583; "581"
4662545301; "581"
3065828777; "581"
2597883012; "581"
17263427; "581"
85433889; "580"
27251107; "579"
883883381221715968; "576"
3604056317; "575"
904076468195602436; "574"
2168080541; "574"
57046139; "572"
126330759; "572"
921131437637677061; "571"
161826457; "571"
979511646761705472; "570"
826538124; "569"
55440612; "569"
4335567628; "568"
10122482; "568"
958460046626697216; "567"
59601305; "567"
516057338; "567"
371929290; "567"
120428886; "566"
58653001; "565"
28230587; "565"
59601329; "564"
51882968; "563"
120185144; "563"
99641234; "562"
56819028; "562"
797532589775093760; "561"
3003338152; "561"
2909839941; "561"
3091623142; "560"
1372716913; "560"
3907724474; "557"
1278345974; "557"
968612655064903680; "556"
540030674; "556"
427693128; "556"
2358496040; "556"
1317121586; "555"
36633906; "554"
115703985; "554"
1373189845; "553"
57174880; "551"
808384833747636224; "549"
711571068239085568; "549"
319877746; "549"
4202797575; "547"
2496114612; "547"
2496960612; "546"
795989733738418176; "545"
3952317917; "545"
2777088491; "544"
980746396675596288; "543"
2713546757; "543"
2389485468; "543"
2375578866; "543"
804004158596677632; "542"
271961034; "542"
187281263; "540"
3872604797; "539"
2942851294; "539"
911255795697778688; "538"
630438780; "538"
801866042146484224; "537"
67663456; "537"
728890790789955585; "536"
811774164453457920; "534"
439345396; "534"
73002150; "533"
629612742; "533"
28889525; "533"
731976733625352193; "532"
231074520; "531"
337919743; "530"
96593902; "528"
38878065; "528"
